country,Year,"Financial institution account, urban (% age 15+)"
BGD,2022,
BGD,2021,40.08
BGD,2017,
BGD,2014,
BGD,2011,
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,
BTN,2011,
IDN,2022,
IDN,2021,53.04
IDN,2017,
IDN,2014,
IDN,2011,
IND,2022,
IND,2021,77.62
IND,2017,
IND,2014,
IND,2011,
KHM,2022,
KHM,2021,50.54
KHM,2017,
KHM,2014,
KHM,2011,
LAO,2022,
LAO,2021,68.84
LAO,2017,
LAO,2014,
LAO,2011,
LKA,2022,
LKA,2021,
LKA,2017,
LKA,2014,
LKA,2011,
MMR,2022,
MMR,2021,
MMR,2017,
MMR,2014,
MMR,2011,
MYS,2022,
MYS,2021,88.19
MYS,2017,
MYS,2014,
MYS,2011,
NPL,2022,
NPL,2021,60.06
NPL,2017,
NPL,2014,
NPL,2011,
