country,Year,"Account, female (% age 15+)"
BGD,2022,
BGD,2021,43.46
BGD,2017,35.84
BGD,2014,26.45
BGD,2011,26.01
BTN,2022,
BTN,2021,
BTN,2017,
BTN,2014,27.68
BTN,2011,
IDN,2022,
IDN,2021,52.3
IDN,2017,51.35
IDN,2014,37.46
IDN,2011,19.21
IND,2022,
IND,2021,77.55
IND,2017,76.64
IND,2014,43.13
IND,2011,26.49
KHM,2022,
KHM,2021,32.52
KHM,2017,21.53
KHM,2014,20.5
KHM,2011,3.71
LAO,2022,
LAO,2021,37.85
LAO,2017,31.87
LAO,2014,
LAO,2011,26.16
LKA,2022,
LKA,2021,89.28
LKA,2017,73.44
LKA,2014,83.11
LKA,2011,67.24
MMR,2022,
MMR,2021,46.15
MMR,2017,25.98
MMR,2014,17.4
MMR,2011,
MYS,2022,
MYS,2021,87.51
MYS,2017,82.48
MYS,2014,78.09
MYS,2011,63.1
NPL,2022,
NPL,2021,49.9
NPL,2017,41.6
NPL,2014,31.27
NPL,2011,21.22
